,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
5811,10.144.175.128/27,1665,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5811
5812,10.144.175.160/28,1676,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5812
5813,10.144.175.192/27,1653,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5813
5814,10.144.175.224/27,1664,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5814
5815,10.144.180.0/22,1680,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5815
5816,10.144.192.0/26,1678,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5816
5817,10.144.193.0/25,1650,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5817
5818,10.144.193.128/26,1651,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5818
5819,10.144.250.96/27,1657,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5819
5820,10.145.78.24/29,1667,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5820
5821,10.145.228.167/32,11505,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5821
5822,10.146.8.32/27,12646,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5822
5823,10.146.20.0/24,14529,United States,US,New Jersey,NJ,Jersey City,40.7182,-74.0476,5823
5824,10.146.24.0/24,14273,United States,US,New York,NY,New York,40.7428,-73.9712,5824
5825,10.146.25.0/27,14282,United States,US,New York,NY,New York,40.7428,-73.9712,5825
5826,10.146.40.0/24,454,Canada,CA,Ontario,ON,Markham,43.845,-79.322,5826
5827,10.146.42.0/23,450,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5827
5828,10.146.80.0/23,436,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5828
5829,10.146.112.0/23,14518,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5829
5830,10.146.152.0/24,432,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164,5830
5831,10.146.156.0/24,461,Canada,CA,Quebec,QC,Montreal,45.5242,-73.593,5831
5832,10.146.157.0/24,462,Canada,CA,Quebec,QC,Montreal,45.5242,-73.593,5832
5833,10.146.162.0/24,14660,United States,US,Michigan,MI,Ann Arbor,42.2503,-83.8393,5833
5834,10.146.170.0/24,14279,United States,US,New York,NY,New York,40.7428,-73.9712,5834
5835,10.148.5.0/24,12677,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5835
5836,10.148.9.0/24,12672,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5836
5837,10.148.16.0/23,14521,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5837
5838,10.148.18.0/27,12688,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5838
5839,10.148.24.0/24,12671,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5839
5840,10.148.101.0/24,14658,United States,US,Michigan,MI,Ann Arbor,42.2503,-83.8393,5840
5841,10.148.102.0/24,14659,United States,US,Michigan,MI,Ann Arbor,42.2503,-83.8393,5841
5842,10.148.158.0/24,14280,United States,US,New York,NY,New York,40.7428,-73.9712,5842
5843,10.148.159.0/24,14281,United States,US,New York,NY,New York,40.7428,-73.9712,5843
5844,10.149.112.0/23,14516,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5844
5845,10.150.8.32/27,14526,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5845
5846,10.150.15.0/27,12668,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5846
5847,10.150.64.0/20,14525,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5847
5848,10.150.198.224/28,441,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5848
5849,10.150.199.0/24,440,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5849
5850,10.150.224.0/28,444,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5850
5851,10.150.237.64/27,11588,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5851
5852,10.150.239.0/24,11587,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5852
5853,10.150.240.0/26,442,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5853
5854,10.150.241.0/24,443,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5854
5855,10.150.243.0/24,439,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5855
5856,10.150.245.64/28,12490,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5856
